MQ_7_mean,MQ_7_std,MQ_7_median,MQ_7_min,MQ_7_max,MQ_7_range,MQ_7_p25,MQ_7_p75,MQ_7_iqr,MQ_7_skew,MQ_7_kurtosis,MQ_9_mean,MQ_9_std,MQ_9_median,MQ_9_min,MQ_9_max,MQ_9_range,MQ_9_p25,MQ_9_p75,MQ_9_iqr,MQ_9_skew,MQ_9_kurtosis,TGS_822_mean,TGS_822_std,TGS_822_median,TGS_822_min,TGS_822_max,TGS_822_range,TGS_822_p25,TGS_822_p75,TGS_822_iqr,TGS_822_skew,TGS_822_kurtosis,TGS_2600_mean,TGS_2600_std,TGS_2600_median,TGS_2600_min,TGS_2600_max,TGS_2600_range,TGS_2600_p25,TGS_2600_p75,TGS_2600_iqr,TGS_2600_skew,TGS_2600_kurtosis,TGS_2602_mean,TGS_2602_std,TGS_2602_median,TGS_2602_min,TGS_2602_max,TGS_2602_range,TGS_2602_p25,TGS_2602_p75,TGS_2602_iqr,TGS_2602_skew,TGS_2602_kurtosis,TGS_2611_mean,TGS_2611_std,TGS_2611_median,TGS_2611_min,TGS_2611_max,TGS_2611_range,TGS_2611_p25,TGS_2611_p75,TGS_2611_iqr,TGS_2611_skew,TGS_2611_kurtosis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726.6553,294.19067,2715,98,4689,4591,2560,2874.5,314.5,-0.29491553,7.216647,2251.998,565.3595,2344.5,0,4320,4320,1780,2680,900,-0.17770913,-0.4531382,8151.302,474.10013,8176,5973,10524,4551,7787.5,8503,715.5,-0.09335653,0.35385337
0.009666666,0.52937686,0,0,29,29,0,0,0,54.744865,2995.0002,0,0,0,0,0,0,0,0,0,0,0,0.058,3.1762614,0,0,174,174,0,0,0,54.744865,2995.0002,2929.4678,297.11298,2918,260,4948,4688,2777,3112,335,-0.40883204,9.025656,3051.3787,308.87338,3037,564,5848,5284,2892,3221,329,-0.37298203,8.879789,8700.709,282.5201,8703,6224,11611,5387,8557,8840,283,0.17188564,9.663462
0,0,0,0,0,0,0,0,0,0,0,0.040333334,2.2087793,0,0,121,121,0,0,0,54.744865,2995.0002,0.041333333,2.2635427,0,0,124,124,0,0,0,54.744865,2995.0002,3009.0593,299.07318,2989,1044,6103,5059,2848,3175,327,0.39419407,10.429814,3220.1753,284.4175,3234,895,4846,3951,3082,3383,301,-0.59691185,6.5208197,8793.763,285.22604,8788,6419,11406,4987,8668,8939.25,271.25,0.15884815,13.10708
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36533332,20.006796,0,0,1096,1096,0,0,0,54.744865,2995.0002,3092.3076,288.64703,3107.5,536,5394,4858,2931,3260,329,-0.5711719,8.005293,3524.6348,283.4703,3535,1187,6397,5210,3394,3659,265,-0.111027904,13.070869,8997.566,306.0958,8995,6613,12112,5499,8832.75,9155,322.25,-0.21748547,8.797588
0,0,0,0,0,0,0,0,0,0,0,0.14366667,5.595328,0,0,239,239,0,0,0,39.36845,1564.7057,0,0,0,0,0,0,0,0,0,0,0,3199.503,295.01544,3205,475,5751,5276,3022,3368,346,-0.4964379,8.115052,2870.79,869.33887,2860.5,0,5398,5398,2178.75,3583,1404.25,0.03862047,-0.8633264,8140.1323,372.39612,8139,6384,11180,4796,7903,8363.25,460.25,0.19187145,3.6032689
0.025333334,1.3873326,0,0,76,76,0,0,0,54.744865,2995.0002,0.16466667,6.394233,0,0,266,266,0,0,0,39.031654,1530.0986,0,0,0,0,0,0,0,0,0,0,0,3059.4382,307.6376,3075,1255,5996,4741,2900,3236.25,336.25,-0.047516093,8.924355,4623.202,295.1515,4609.5,1919,7612,5693,4486,4778,292,-0.024865497,10.993915,8626.182,294.05252,8637,5990,11453,5463,8487.75,8764.5,276.75,-0.14616343,13.528855
0.101333335,5.54933,0,0,304,304,0,0,0,54.744865,2995.0002,0.058333334,3.1945157,0,0,175,175,0,0,0,54.744865,2995.0002,0.099,5.4215493,0,0,297,297,0,0,0,54.744865,2995.0002,3046.213,277.18796,3030,1535,5984,4449,2883,3212,329,0.24060744,7.58157,4835.555,272.06485,4830,3210,6938,3728,4680,4977,297,-0.06693662,5.6545787,8813.043,290.21274,8813,6984,11288,4304,8684,8958,274,-0.1198802,8.109936
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3095.8586,282.97147,3107,456,4802,4346,2929,3264,335,-0.48434767,6.6678176,4960.2734,293.1066,4943.5,2518,8032,5514,4803,5127,324,0.5143892,12.199015,8941.63,288.84048,8940,7183,11464,4281,8787.75,9097,309.25,-0.1641497,7.0189643
425.92,485.75873,250,0,3540,3540,2,665.25,663.25,1.2882732,1.3526304,0.41733333,14.446401,0,0,713,713,0,0,0,43.254097,2029.6042,0,0,0,0,0,0,0,0,0,0,0,4452.3794,313.61523,4454,511,8241,7730,4297,4605,308,0.84469974,24.268547,4546.9614,373.69156,4547.5,891,7359,6468,4357,4737,380,-0.3434599,13.110953,10541.5,315.05347,10569,7880,13549,5669,10380.75,10743,362.25,-0.16966555,6.844433
1049.924,528.61536,1041,0,5056,5056,618,1489.25,871.25,0.39646754,1.1832203,5.909333,65.70915,0,0,1771,1771,0,0,0,17.624987,384.74503,0.26033333,12.975897,0,0,707,707,0,0,0,53.91852,2930.7195,4510.6064,297.9732,4523,1700,7940,6240,4372,4640,268,0.71532685,18.524233,4684.2837,332.57806,4675.5,2067,7541,5474,4511.5,4865,353.5,-0.070923306,9.726436,10865.579,330.53833,10857,7679,14475,6796,10720,11017,297,1.464579,28.393942
